"school_name_x","School Code","Number of Rating","Overall Quality","Reputation","Facilities","Opportunities","Clubs","Safety","Happiness","Social","school_name_y","place_id","overall_rating","number_of_review","accurate_address","matching_substring","CA Student Undergraduate","CA Student Graduate","International Student Undergraduate","International Student Graduate","Image Source"
"Universite Laval","/school/1434","68 Ratings","3.8","3.9","4.0","3.8","3.5","4.5","3.9","3.8","Universite Laval","ChIJ-TL_acSWuEwRR4IvvVO4_hU","4.2","939.0","2325 Rue de l'Université, Québec, QC G1V 0A6, Canada","Universite Laval","$2,797 - $8,730","$2,797 - $8,730","$21,233 - $22,208","$17,192 - $21,233","https://www.etudesuniversitaires.ca/wp-content/uploads//2019/04/laval-stacked-colour-logo_200px.jpg"
"University of Ottawa","/school/1452","1029 Ratings","3.5","3.7","3.6","3.5","3.3","3.9","3.8","3.3","University of Ottawa","ChIJc425bQoFzkwRrtsvYsNZihg","4.1","843.0","75 Laurier Ave E, Ottawa, ON K1N 6N5, Canada","University of Ottawa","$6,088 - $6,392","$6,367 - $8,188","$38,692","$16,334 - $29,445","https://www.universitystudy.ca/wp-content/uploads/2019/04/ottawa_stacked_black_logo_150px.jpg"
"Carleton University","/school/1420","861 Ratings","3.9","3.7","4.0","3.7","3.8","4.3","4.2","3.7","Carleton University","ChIJw-x_09gFzkwR3Ny4IXiNXb8","4.4","747.0","1125 Colonel By Dr, Ottawa, ON K1S 5B6, Canada","Carleton University","$6,067 - $9,614","$4,952 - $6,514","$27,056 - $39,374","$13,060 - $16,762","https://www.universitystudy.ca/wp-content/uploads/2021/11/Carleton_horizontal-logo_web-200x.jpg"
"University of Guelph","/school/1426","531 Ratings","4.3","4.2","4.5","4.1","4.1","4.7","4.5","4.2","University of Guelph","ChIJt6A4HTybK4gRxxNATeWZ648","4.5","611.0","50 Stone Rd E, Guelph, ON N1G 2W1, Canada","University of Guelph","$5,893 - $6,091","$4,587 - $4,993","$10,703 - $30,317","$5,650 - $16,311","https://www.universitystudy.ca/wp-content/uploads/2019/04/Guelph_stacked_color_logo_200-1.jpg"
"University of Guelph - Humber","/school/4310","148 Ratings","3.4","3.4","3.6","3.6","2.8","4.0","3.7","3.1","University of Guelph - Humber","ChIJCbDKp7I7K4gRoENk1gi7aIY","4.2","140.0","207 Humber College Blvd, Etobicoke, ON M9W 5L7, Canada","University of Guelph","$5,893 - $6,091","$4,587 - $4,993","$10,703 - $30,317","$5,650 - $16,311","https://www.universitystudy.ca/wp-content/uploads/2019/04/Guelph_stacked_color_logo_200-1.jpg"
"university of Guelph","/school/18643","1 Ratings","5.0","5.0","5.0","5.0","5.0","5.0","5.0","5.0","university of Guelph","ChIJt6A4HTybK4gRxxNATeWZ648","4.5","611.0","50 Stone Rd E, Guelph, ON N1G 2W1, Canada","","","","","",""
"University of Guelph: Ridgetown","/school/5562","6 Ratings","3.3","3.5","3.3","3.5","2.3","5.0","4.3","2.7","University of Guelph: Ridgetown","ChIJU-FS3TroL4gRXnn0MdF1nnw","4.1","16.0","120 Main St E, Ridgetown, ON N0P 2C0, Canada","University of Guelph","$5,893 - $6,091","$4,587 - $4,993","$10,703 - $30,317","$5,650 - $16,311","https://www.universitystudy.ca/wp-content/uploads/2019/04/Guelph_stacked_color_logo_200-1.jpg"
"Dalhousie University","/school/1423","390 Ratings","3.6","4.0","3.7","3.6","3.5","4.2","3.8","3.6","Dalhousie University (Halifax)","ChIJ19nmdTAiWksRA1TUEF1FjHQ","4.2","415.0","6299 South St, Halifax, NS B3H 4R2, Canada","Dalhousie University","$7,312 - $8,595","$7,816 - $9,099","$19,299 - $25,455","$19,803 - $25,959","https://www.universitystudy.ca/wp-content/uploads/2023/01/Dalhousie_logo_web-200x-2.jpg"
"Dalhousie University","/school/16310","1 Ratings","3.5","4.0","4.0","3.0","4.0","4.0","3.0","3.0","Dalhousie University (Truro)","ChIJXZgW4ytOWUsRLeKQEdQdjrs","4.6","50.0","62 Cumming Dr, Bible Hill, NS B2N 4H5, Canada","Dalhousie University","$7,312 - $8,595","$7,816 - $9,099","$19,299 - $25,455","$19,803 - $25,959","https://www.universitystudy.ca/wp-content/uploads/2023/01/Dalhousie_logo_web-200x-2.jpg"
"University of Saskatchewan","/school/1480","345 Ratings","3.8","3.8","4.2","3.7","3.6","3.9","4.1","3.6","University of Saskatchewan","ChIJg6SU-rD2BFMRKsnZWB-oenk","4.3","641.0","105 Administration Pl, Saskatoon, SK S7N 5A2, Canada","University of Saskatchewan","$6,978 - $7,146","$3,132","$25,121 - $25,726","$3,132 - $6,264","https://www.universitystudy.ca/wp-content/uploads/2019/04/saskatchewan_horizontal-2-lines_color_logo_200px.png"
