"school_name_x","School Code","Number of Rating","Overall Quality","Reputation","Facilities","Opportunities","Clubs","Safety","Happiness","Social","school_name_y","place_id","overall_rating","number_of_review","accurate_address","matching_substring","CA Student Undergraduate","CA Student Graduate","International Student Undergraduate","International Student Graduate","Image Source"
"Yorkville University - Fredericton","/school/5302","59 Ratings","2.3","2.5","2.3","2.3","1.7","2.7","2.4","2.0","Yorkville University - Fredericton","ChIJPdu6tsojpEwRHUBT_wBJXf4","2.7","3.0","100 Woodside Ln, Fredericton, NB E3C 2R9, Canada","Yorkville University","$7,230 - $7,665","$4,725","$21,690 - $22,995","$8,574",""
"Yorkville University - New Westminster","/school/18047","","","","","","","","","","Yorkville University - New Westminster","ChIJ3Z2uAIFxhlQRhQzrpfbM65E","4.2","365.0","88 6th St, New Westminster, BC V3L 5B3, Canada","Yorkville University","$7,230 - $7,665","$4,725","$21,690 - $22,995","$8,574",""
"Cape Breton University","/school/1418","72 Ratings","3.3","3.1","3.5","3.1","3.0","4.2","3.4","2.8","Cape Breton University","ChIJHf3Bb4_jZ0sR1iLiJGxVIt0","3.9","272.0","1250 Grand Lake Rd, Sydney, NS B1M 1A2, Canada","Cape Breton University","$7,501 - $8,784","$9,709 - $10,992","$17,568","$19,776","https://www.universitystudy.ca/wp-content/uploads/2021/02/Cape-Breton_logo_web-200px.jpg"
"Universite de Saint-Boniface","/school/1472","24 Ratings","3.4","3.5","3.4","3.2","2.5","4.4","3.5","2.7","Universite de Saint-Boniface","ChIJV-IxEzZx6lIR5fWoO-07raE","4.3","60.0","200 Av. de la Cathedrale, Winnipeg, MB R2H 0H7, Canada","Universite de Saint-Boniface","","*","","*","https://www.etudesuniversitaires.ca/wp-content/uploads//2019/04/saint-boniface-color-stacked-logo_200px.png"
"Algoma University","/school/1498","44 Ratings","2.8","2.7","2.8","2.9","2.3","3.2","3.1","2.7","Algoma University","ChIJ4SbGtIlHNk0RU5etQPsAiTA","4.0","238.0","1520 Queen St E, Sault Ste. Marie, ON P6A 2G4, Canada","Algoma University","","","","","https://www.universitystudy.ca/wp-content/uploads/2021/02/Algoma_logo_web-960-px-1.png"
"Ecole nationale d'administration publique","/school/1458","3 Ratings","0.0","4.7","3.3","4.3","3.0","0.0","4.0","4.0","Ecole nationale d'administration publique","ChIJf6-t-nOWuEwRMQvrYLad0kk","4.8","38.0","555 Boulevard Charest E, Québec, QC G1K 9E5, Canada","","","","","",""
"University of King's College","/school/1431","32 Ratings","3.9","4.3","4.4","3.7","3.8","4.8","4.3","4.0","University of King's College","ChIJY3SAICQiWksR_BwLP-20hhk","4.5","44.0","6350 Coburg Rd, Halifax, NS B3H 2A1, Canada","University of King's College","$6,598","$3,533 - $8,756","$24,408","$8,243 - $21,597","https://www.universitystudy.ca/wp-content/uploads/2022/11/Kings-NS_logo_web-200x.jpg"
"Concordia University of Edmonton","/school/1421","104 Ratings","3.6","3.6","3.7","3.6","3.2","4.4","4.0","3.5","Concordia University of Edmonton","ChIJ97DAkeAioFMRgeHNqf5-j-g","4.4","149.0","7128 Ada Blvd NW, Edmonton, AB T5B 4E4, Canada","Concordia University, Concordia University of Edmonton","","","","",""
"Canadian Mennonite University","/school/4120","22 Ratings","3.8","3.6","4.1","3.4","2.8","4.7","4.4","3.8","Canadian Mennonite University","ChIJj0YP_LZ06lIRWXNDgAIVxLw","4.3","49.0","500 Shaftesbury Blvd, Winnipeg, MB R3P 2N2, Canada","Canadian Mennonite University","$6,152","$796","$9,686","$1,233","https://www.universitystudy.ca/wp-content/uploads/2021/02/Cdn-Mennonite_logo_web-200-px.jpg"
"The King's University","/school/1430","41 Ratings","3.6","4.1","3.1","3.8","3.7","4.5","4.3","3.9","The King's University","ChIJwQtRyp8ioFMRiw7h2IIkM8w","4.4","71.0","9125 50 St NW, Edmonton, AB T6B 2H3, Canada","The King's University","$5,760 - $7,950","$16,390*","$10,620 - $17,580","$18,710*","https://www.universitystudy.ca/wp-content/uploads/2021/11/thekingsuniversitylogo-3.png"
"St. Thomas University","/school/1478","108 Ratings","3.8","3.7","4.2","3.7","3.6","4.2","4.2","3.7","St. Thomas University","ChIJefUTNBkipEwRkB4RZY0FTdE","4.3","35.0","51 Dineen Dr, Fredericton, NB E3B 5G3, Canada","St. Thomas University","$6,279 - $6,881","*","$22,000","*","https://www.universitystudy.ca/wp-content/uploads/2022/11/St-Thomas_logo_web-200x.jpg"
"Redeemer University","/school/1633","43 Ratings","3.6","3.7","3.7","3.5","3.3","4.8","4.3","3.8","Redeemer University","ChIJv0Tu4W6FLIgRFBS_IofMWLg","4.2","87.0","777 Garner Rd E, Ancaster, ON L9K 1J4, Canada","Redeemer University","$5,760 - $8,064","*","$20,493 - $27,324","*","https://www.universitystudy.ca/wp-content/uploads/2021/01/Redeemer_logo_200x.png"
"Ambrose University","/school/4917","60 Ratings","2.9","2.9","3.3","2.7","2.6","3.8","3.1","3.1","Ambrose University","ChIJWWQjLOFtcVMRfNATts4p5gU","4.3","55.0","150 Ambrose Cir SW, Calgary, AB T3H 0L5, Canada","Ambrose University","$5,729 - $7,625","$5,302","$38,389 - $42,803","$9,314",""
"University Canada West","/school/11954","59 Ratings","3.1","3.1","3.0","3.0","2.6","3.8","3.0","3.1","University Canada West","ChIJX3fvaIFxhlQR3_qgjYhnja8","3.7","987.0","626 W Pender St #100, Vancouver, BC V6B 1V9, Canada","University Canada West","$6,114","$4,051","$27,895 - $31,775","$4,051",""
"College of the North Atlantic","/school/4053","2 Ratings","2.9","4.0","3.0","3.0","1.0","3.0","3.5","3.0","College of the North Atlantic (Burin)","ChIJHd2U0RR_bUsRVQMsbbvX3m0","4.1","8.0","105 Main St, Burin Bay Arm, NL A0E 1G0, Canada","College of the North Atlantic","$6,045","$6,278","$21,818 - $27,836","$7,919",""
"College of the North Atlantic","/school/4054","","","","","","","","","","College of the North Atlantic (Happy Valley-Goose Bay)","ChIJR9rDUzh6e0wRr70-Vym6Ud4","4.2","5.0","219 Hamilton River Road, Happy Valley-Goose Bay, NL A0P 1E0, Canada","College of the North Atlantic","$6,045","$6,278","$21,818 - $27,836","$7,919",""
"College of the North Atlantic","/school/4055","1 Ratings","0.0","4.0","3.0","4.0","4.0","0.0","5.0","3.0","College of the North Atlantic (Stephenville)","ChIJKS70Ly8je0sRBcXbqliu3GA","3.8","5.0","431 Illinois Dr, Stephenville, NL A2N 3A5, Canada","College of the North Atlantic","$6,045","$6,278","$21,818 - $27,836","$7,919",""
"College of the North Atlantic","/school/4063","","","","","","","","","","College of the North Atlantic (Clarenville)","ChIJg9nMgnl4dEsRA_jLacAet80","4.0","5.0","69 Pleasant, Clarenville, NL A5A 1V9, Canada","College of the North Atlantic","$6,045","$6,278","$21,818 - $27,836","$7,919",""
"College of the North Atlantic","/school/4065","","","","","","","","","","College of the North Atlantic (Gander)","ChIJ58D38O3ydksR1oI1JfDY9B4","3.8","6.0","1 Magee Rd, Gander, NL A1V 1W8, Canada","College of the North Atlantic","$6,045","$6,278","$21,818 - $27,836","$7,919",""
"College of the North Atlantic","/school/4066","1 Ratings","3.6","5.0","2.0","4.0","3.0","5.0","5.0","4.0","College of the North Atlantic (Grand Falls)","ChIJNcxFvG86d0sRZDk-Ny1KGso","5.0","4.0","5 Cromer Ave, Grand Falls-Windsor, NL A2A 1X3, Canada","College of the North Atlantic","$6,045","$6,278","$21,818 - $27,836","$7,919",""
"College of the North Atlantic","/school/4124","2 Ratings","3.4","4.5","3.0","3.5","1.5","4.0","3.5","2.0","College of the North Atlantic (Corner Brook)","ChIJY4Z9jwGue0sRgrNgZM8klhE","2.9","13.0","141 O'Connell Dr, Corner Brook, NL A2H 6H6, Canada","College of the North Atlantic","$6,045","$6,278","$21,818 - $27,836","$7,919",""
"Universite Sainte-Anne","/school/4336","24 Ratings","3.1","2.9","2.8","3.8","2.7","2.9","3.7","3.7","Universite Sainte-Anne","ChIJsZY2KOgrqEwR_4E2ze8t6kE","4.6","56.0","1695 Route 1, Church Point, NS B0W 1M0, Canada","Universite Sainte-Anne","$6,978 - $8,261","$6,978 - $8,261","$11,299","$11,299","https://www.etudesuniversitaires.ca/wp-content/uploads//2019/04/sainte_anne_color-horizontal-logo_200px.png"
"First Nations University of Canada","/school/4036","8 Ratings","3.8","4.1","4.4","4.1","2.6","5.0","4.1","3.5","First Nations University of Canada (Regina)","ChIJIZwzDIagHlMRMIgkoxv2jq0","4.7","46.0","1 First Nations Way, Regina, SK S4S 7K2, Canada","First Nations University of Canada","$4,798","$10,428 - $14,021*","$19,227","$18,360*","https://www.universitystudy.ca/wp-content/uploads/2022/12/First-Nations_logo_web-200x-1.jpg"
"First Nations University of Canada","/school/4072","1 Ratings","0.0","4.0","3.0","3.0","4.0","0.0","5.0","3.0","First Nations University of Canada (Saskatoon)","ChIJV8Eafdb2BFMReXdq7oDJfw8","4.4","7.0","103 Packham Ave, Saskatoon, SK S7N 4K4, Canada","First Nations University of Canada","$4,798","$10,428 - $14,021*","$19,227","$18,360*","https://www.universitystudy.ca/wp-content/uploads/2022/12/First-Nations_logo_web-200x-1.jpg"
"St. Thomas More College","/school/1479","1 Ratings","0.0","4.0","5.0","3.0","4.0","0.0","5.0","3.0","St. Thomas More College","ChIJdSBdCLb2BFMRO2udeHa7g9I","4.5","12.0","1437 College Dr, Saskatoon, SK S7N 0W6, Canada","St. Thomas More College","$4,576","$9,861","$19,218","$14,168","https://www.universitystudy.ca/wp-content/uploads/2019/04/st-thomas-more_2-lines_color_logo_200px.png"
"Université de Hearst","/school/16676","1 Ratings","0.0","4.0","3.0","4.0","2.0","0.0","5.0","5.0","Université de Hearst","ChIJtfh7ySvmP00RNr-01dhQ8rE","5.0","8.0","60 9th St, Hearst, ON P0L 1N0, Canada","","","","","",""
"Aurora College - Yellowknife Campus","/school/4212","4 Ratings","2.8","3.5","2.3","3.0","2.0","3.0","4.3","2.0","Aurora College - Yellowknife Campus","ChIJ60bXy9r20VMRs2y5HuH5cfg","5.0","5.0","5004 54 St, Yellowknife, NT X1A 2R6, Canada","Aurora College","","","","",""
"Kingswood University","/school/15237","5 Ratings","0.0","3.6","3.2","3.2","3.0","0.0","3.4","3.6","Kingswood University","ChIJzWO7cGEip0wRECHl2Jpw1zU","4.0","12.0","26 Western St, Sussex, NB E4E 1E6, Canada","Kingswood University","","","","",""
"Nicola Valley Institute of Technology","/school/13476","3 Ratings","2.8","2.7","2.7","2.3","1.7","3.5","3.0","2.7","Nicola Valley Institute of Technology","ChIJg6E9xOuQgVQR7wPQaq7Z9lE","4.9","18.0","4155 Belshaw St, Merritt, BC V1K 1R1, Canada","Nicola Valley Institute of Technology","","","","",""
"St. Stephen's University","/school/5630","2 Ratings","2.6","3.0","2.5","2.0","1.5","3.0","2.5","3.0","St. Stephen's University","ChIJD5txszD5pUwR6l1HZDZSJVY","4.3","11.0","8 Main St, St Stephen, NB E3L 3E2, Canada","St. Stephen's University","","","","",""
